team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Hawthorn,2016,8854,336,221,1718,876,1287,2237,235,1036,245.94444444444446,9.333333333333334,47.72222222222222,5,5,3,15,6,4,5,36,24,20,16,73,12,16,60.32315978456014,3132,5642,35.37384233114976,1135,15
Melbourne,2016,8649,286,179,1580,844,1183,1792,244,1053,233.75675675675674,7.72972972972973,42.7027027027027,4,2,1,12,5,4,2,37,24,19,10,71,11,16,61.505376344086024,3267,5340,37.77315296566077,1164,-27
North Melbourne,2016,8342,296,221,1506,854,1189,1962,283,985,245.35294117647058,8.705882352941176,44.294117647058826,6,3,1,11,8,3,2,34,22,18,14,63,14,12,57.25338491295938,3292,5085,39.46295852313594,1093,72
Port Adelaide,2016,7939,300,217,1674,862,1208,1626,212,669,214.56756756756758,8.108108108108109,45.24324324324324,5,3,0,12,5,2,4,37,24,19,10,64,13,19,58.027079303675045,3237,4683,40.773397153293864,1274,-58
Richmond,2016,8079,247,172,1323,752,1005,2140,276,931,197.0487804878049,6.024390243902439,32.26829268292683,3,2,1,9,5,3,0,41,23,18,8,52,8,25,58.94988066825776,3003,5068,37.170441886372075,1124,-17
St Kilda,2016,8296,286,196,1459,759,1162,2029,271,835,237.02857142857144,8.17142857142857,41.68571428571428,4,3,2,13,7,4,2,35,25,19,12,76,13,19,59.33609958506224,2941,5351,35.450819672131146,1092,-22
Sydney,2016,10285,376,250,2048,1013,1462,2128,344,1084,302.5,11.058823529411764,60.23529411764706,7,1,1,14,11,6,5,34,26,22,15,105,11,26,60.063897763578275,4253,6011,41.35148274185707,1392,-51
West Coast,2016,8132,330,198,1607,860,1203,1979,294,1083,232.34285714285716,9.428571428571429,45.91428571428571,5,3,2,11,5,3,2,35,24,20,16,83,14,21,62.5,3216,4964,39.54746679783571,1083,22
Western Bulldogs,2016,10681,324,234,1787,982,1423,2373,289,872,273.87179487179486,8.307692307692308,45.82051282051282,4,2,2,15,10,8,4,39,27,22,14,81,14,20,58.06451612903226,3913,6800,36.63514652186125,1238,112
Adelaide,2017,9807,395,254,1795,990,1437,2273,310,1135,316.35483870967744,12.741935483870968,57.903225806451616,8,4,3,17,8,6,4,31,24,23,18,88,14,20,60.86286594761171,3868,5986,39.44121545834608,1404,-3
Brisbane Lions,2017,8003,276,177,1367,803,1012,2067,203,890,210.60526315789474,7.2631578947368425,35.973684210526315,3,2,0,9,6,2,2,38,23,17,10,47,8,17,60.9271523178808,2878,5054,35.96151443208797,1196,47
Carlton,2017,7913,232,163,1526,754,1027,2288,256,857,202.89743589743588,5.948717948717949,39.12820512820513,3,2,0,10,4,4,2,39,24,17,12,53,10,11,58.734177215189874,3026,4837,38.240869455326674,1163,30
Collingwood,2017,8863,278,225,1528,824,1198,2326,250,945,239.54054054054055,7.513513513513513,41.2972972972973,3,1,0,10,7,3,3,37,24,17,10,72,10,15,55.26838966202783,3172,5716,35.789236150287714,1161,46
Essendon,2017,9132,319,230,1479,788,1182,2399,267,835,253.66666666666666,8.86111111111111,41.083333333333336,5,4,2,14,9,5,2,36,23,21,15,71,10,15,58.1056466302368,3189,5899,34.92115637319317,1247,-10
Fremantle,2017,7937,231,176,1401,793,1044,1998,235,952,214.51351351351352,6.243243243243243,37.86486486486486,3,0,0,9,6,3,0,37,26,16,8,57,9,15,56.75675675675676,2934,4985,36.96610810129772,1165,-40
Geelong,2017,9570,343,241,1901,929,1324,2175,310,1025,265.8333333333333,9.527777777777779,52.80555555555556,5,3,3,15,7,5,6,36,26,21,17,80,12,33,58.73287671232876,3684,5934,38.49529780564263,1380,-12
Gold Coast,2017,8526,257,185,1356,798,1063,2121,200,905,203.0,6.119047619047619,32.285714285714285,4,2,1,12,7,0,0,42,25,15,6,47,11,14,58.144796380090504,3037,5458,35.620455078583156,1187,-4
Greater Western Sydney,2017,9621,336,244,1764,1056,1359,2225,243,1131,260.02702702702703,9.08108108108108,47.67567567567568,4,3,3,13,8,6,2,37,26,21,13,81,11,21,57.931034482758626,3606,6020,37.48051138135329,1370,-56
Hawthorn,2017,8662,273,187,1536,773,1064,2274,238,877,234.1081081081081,7.378378378378378,41.513513513513516,2,2,0,14,7,2,2,37,22,20,10,61,11,25,59.34782608695652,2957,5694,34.13761256060956,1094,-27
Melbourne,2017,8914,302,172,1581,833,1206,1883,207,754,247.61111111111111,8.38888888888889,43.916666666666664,7,1,1,15,8,2,2,36,24,21,8,68,15,12,63.71308016877637,3370,5561,37.80569890060579,1267,-4
North Melbourne,2017,8110,290,209,1532,791,1163,1828,251,913,219.1891891891892,7.837837837837838,41.4054054054054,2,1,1,12,5,1,3,37,24,17,9,40,7,14,58.116232464929865,3071,5032,37.86683107274969,1140,38
Port Adelaide,2017,8713,323,267,1599,896,1363,2176,316,1040,248.94285714285715,9.228571428571428,45.68571428571428,4,2,2,13,8,2,3,35,23,20,15,84,13,18,54.74576271186441,3462,5255,39.73373120624355,1303,-26
Richmond,2017,9118,331,252,1742,900,1396,2112,274,794,239.94736842105263,8.710526315789474,45.8421052631579,6,3,1,14,8,6,2,38,21,20,18,80,12,36,56.77530017152659,3623,5354,39.7345909190612,1449,-58
St Kilda,2017,8755,271,250,1523,788,1160,2050,250,848,257.5,7.970588235294118,44.794117647058826,5,3,0,15,7,5,1,34,24,22,12,57,11,14,52.01535508637236,3140,5621,35.865219874357514,1145,18
Sydney,2017,8923,329,241,1664,865,1263,2182,302,924,254.94285714285715,9.4,47.542857142857144,5,3,1,14,11,4,4,35,24,22,14,88,12,23,57.719298245614034,3506,5408,39.291718032052,1298,-29
West Coast,2017,9033,309,209,1521,889,1189,2389,301,924,265.6764705882353,9.088235294117647,44.73529411764706,4,3,2,11,8,5,2,34,26,20,13,63,12,13,59.65250965250966,3345,5758,37.03088674858851,1221,30
Western Bulldogs,2017,8634,260,240,1549,760,1203,1848,211,759,233.35135135135135,7.027027027027027,41.86486486486486,3,0,0,12,9,3,3,37,26,16,8,51,10,19,52.0,3168,5431,36.69214732453092,1041,64
Adelaide,2018,8425,279,214,1422,823,1162,2014,253,904,240.71428571428572,7.9714285714285715,40.628571428571426,3,1,1,13,4,3,2,35,25,19,8,69,15,19,56.5922920892495,3378,5014,40.09495548961424,1084,48
Brisbane Lions,2018,8216,266,192,1278,825,1123,2184,220,949,241.64705882352942,7.823529411764706,37.588235294117645,5,1,0,13,7,1,3,34,24,20,12,45,11,18,58.07860262008734,2993,5184,36.42891918208374,1197,27
Carlton,2018,7635,192,152,1396,766,994,1910,218,772,206.35135135135135,5.1891891891891895,37.729729729729726,3,1,0,7,4,3,2,37,29,14,8,37,7,20,55.81395348837209,2984,4599,39.08316961362148,1256,7
Collingwood,2018,10377,345,226,1776,989,1423,2393,312,1211,266.0769230769231,8.846153846153847,45.53846153846154,6,4,2,16,9,7,3,39,26,20,16,96,12,24,60.42031523642733,3970,6462,38.257685265490984,1476,111
Essendon,2018,8396,280,207,1467,810,1173,2122,256,821,215.28205128205127,7.17948717948718,37.61538461538461,4,1,0,12,6,2,2,39,23,18,12,65,13,13,57.49486652977412,3154,5265,37.565507384468795,1217,-26
Fremantle,2018,7989,224,170,1325,770,1057,2016,214,913,215.9189189189189,6.054054054054054,35.810810810810814,2,0,0,8,4,1,0,37,25,17,8,56,10,16,56.852791878172596,2990,5089,37.42646138440355,1249,-42
Geelong,2018,8759,304,222,1538,859,1223,2059,272,825,218.975,7.6,38.45,5,1,1,11,8,7,3,40,23,17,12,88,10,17,57.79467680608364,3445,5378,39.33097385546295,1278,4
Gold Coast,2018,7478,181,189,1526,824,1033,1703,179,999,191.74358974358975,4.641025641025641,39.12820512820513,3,0,0,8,5,0,3,39,23,16,9,31,12,5,48.91891891891892,3167,4267,42.350895961487026,1400,-45
Greater Western Sydney,2018,9069,287,243,1612,944,1292,2125,273,861,238.6578947368421,7.552631578947368,42.421052631578945,4,1,1,12,9,4,2,38,23,19,13,76,10,16,54.15094339622642,3593,5475,39.61848053809681,1352,-55
Hawthorn,2018,9035,309,211,1654,875,1299,2231,220,984,250.97222222222223,8.583333333333334,45.94444444444444,5,3,2,15,6,4,3,36,24,20,15,90,10,28,59.42307692307692,3421,5636,37.863862755949086,1316,3
Melbourne,2018,9656,369,269,1731,956,1497,2159,328,1263,260.97297297297297,9.972972972972974,46.78378378378378,5,3,2,15,8,5,3,37,25,20,16,93,15,21,57.83699059561128,4000,5734,41.42502071251036,1451,-8
North Melbourne,2018,8093,285,202,1376,764,1147,1820,256,915,261.06451612903226,9.193548387096774,44.38709677419355,4,3,1,14,6,2,2,31,24,18,15,68,13,15,58.52156057494866,3269,4854,40.392932163598175,1232,85
Port Adelaide,2018,8262,259,195,1540,870,1174,1988,236,895,243.0,7.617647058823529,45.294117647058826,5,1,0,14,7,2,3,34,22,20,12,62,15,14,57.048458149779734,3286,4982,39.772452190752844,1266,-27
Richmond,2018,8803,332,229,1495,813,1417,1950,267,671,258.9117647058824,9.764705882352942,43.970588235294116,4,3,2,17,6,1,2,34,25,22,16,78,14,19,59.180035650623886,3555,5246,40.383960013631715,1432,-122
St Kilda,2018,8552,225,217,1319,731,1138,2067,190,648,208.58536585365854,5.487804878048781,32.170731707317074,2,2,0,11,5,2,1,41,27,16,9,35,9,18,50.90497737556561,2981,5687,34.85734331150608,1202,-54
Sydney,2018,8549,272,191,1489,848,1150,2048,269,736,237.47222222222223,7.555555555555555,41.361111111111114,5,1,1,12,7,3,3,36,24,20,12,71,13,16,58.747300215982726,3382,5115,39.56018247748275,1285,-34
West Coast,2018,8902,336,223,1524,914,1336,2527,347,1124,269.75757575757575,10.181818181818182,46.18181818181818,6,4,2,15,8,4,2,33,27,22,16,81,11,16,60.10733452593918,3596,5323,40.39541676027859,1262,82
Western Bulldogs,2018,8527,224,190,1384,802,1144,1972,208,612,224.39473684210526,5.894736842105263,36.421052631578945,3,0,0,10,7,3,3,38,27,16,6,47,10,14,54.106280193236714,3068,5411,35.97982877917204,1155,48
Adelaide,2019,8644,256,190,1387,835,1119,2080,246,898,240.11111111111111,7.111111111111111,38.52777777777778,3,2,1,10,6,5,2,36,25,19,10,53,12,14,57.399103139013455,3247,5269,37.56362795002314,1111,74
Brisbane Lions,2019,8491,307,236,1531,1005,1344,2146,292,1034,242.6,8.771428571428572,43.74285714285714,7,2,1,12,7,5,2,35,23,20,18,90,10,26,56.537753222836095,3561,4759,41.938523142150515,1367,-2
Carlton,2019,7774,231,183,1380,887,1054,1992,266,852,210.1081081081081,6.243243243243243,37.2972972972973,2,0,0,11,6,2,2,37,24,20,12,60,13,26,55.79710144927537,3131,4441,40.27527656290198,1261,-44
Collingwood,2019,9634,290,204,1511,869,1244,2501,293,1125,267.6111111111111,8.055555555555555,41.97222222222222,5,2,0,12,8,6,3,36,23,19,13,81,12,23,58.70445344129555,3519,6013,36.52688395266764,1298,88
Essendon,2019,8452,256,181,1419,835,1154,2014,274,736,222.42105263157896,6.7368421052631575,37.3421052631579,4,2,0,12,7,2,2,38,24,21,10,58,12,16,58.58123569794051,3276,5015,38.760056791292,1295,-8
Fremantle,2019,8236,225,181,1273,834,1134,1880,270,858,222.59459459459458,6.081081081081081,34.4054054054054,2,2,1,12,7,4,1,37,24,16,12,69,10,33,55.41871921182266,3339,4850,40.54152501214182,1206,16
Geelong,2019,9116,320,226,1653,980,1305,2259,308,893,268.11764705882354,9.411764705882353,48.61764705882353,7,2,1,15,7,4,6,34,24,22,18,90,10,27,58.60805860805861,3756,5221,41.2022817025011,1319,25
Gold Coast,2019,7560,194,159,1408,879,995,1910,223,1173,198.94736842105263,5.105263157894737,37.05263157894737,2,1,0,9,4,2,3,38,24,17,8,22,5,7,54.95750708215298,3111,4335,41.15079365079365,1230,57
Greater Western Sydney,2019,9851,322,226,1655,1082,1339,2669,270,1011,259.2368421052632,8.473684210526315,43.55263157894737,4,3,2,17,9,6,2,38,24,22,15,84,12,17,58.75912408759124,3739,6022,37.95553750888235,1504,-102
Hawthorn,2019,8091,250,182,1424,756,1159,2018,303,950,237.97058823529412,7.352941176470588,41.88235294117647,3,1,0,10,6,3,3,34,24,18,9,67,14,11,57.870370370370374,3077,4910,38.029909776294645,1193,-43
Melbourne,2019,7989,223,181,1344,855,1187,1916,227,1032,204.84615384615384,5.717948717948718,34.46153846153846,3,0,0,10,7,2,3,39,23,13,11,47,7,17,55.1980198019802,3274,4641,40.981349355363626,1304,-24
North Melbourne,2019,8293,265,192,1252,793,1140,1791,242,869,236.94285714285715,7.571428571428571,35.77142857142857,5,1,1,12,7,2,1,35,23,20,12,68,11,18,57.98687089715536,3202,5090,38.61087664295189,1176,5
Port Adelaide,2019,8695,257,219,1412,909,1278,1932,222,961,235.0,6.945945945945946,38.16216216216216,3,0,0,14,5,2,1,37,26,19,8,66,13,16,53.99159663865546,3419,5142,39.32144910868315,1230,-3
Richmond,2019,9144,322,209,1569,848,1395,2197,258,803,234.46153846153845,8.256410256410257,40.23076923076923,4,2,1,10,7,4,2,39,26,20,13,72,13,23,60.64030131826742,3429,5554,37.5,1457,-27
St Kilda,2019,7926,233,201,1410,838,1120,1997,238,692,203.23076923076923,5.9743589743589745,36.15384615384615,2,2,1,11,6,2,1,39,24,18,10,53,13,12,53.686635944700456,3080,4793,38.85944991168307,1144,-36
Sydney,2019,8159,248,183,1456,758,1049,2002,268,628,233.11428571428573,7.085714285714285,41.6,4,1,0,12,8,3,2,35,24,16,12,53,10,16,57.540603248259856,3037,4882,37.22269886015443,1233,-63
West Coast,2019,8448,309,176,1381,941,1211,2384,281,871,248.47058823529412,9.088235294117647,40.61764705882353,6,4,2,9,7,5,3,34,26,19,15,74,10,17,63.71134020618556,3259,5092,38.57717803030303,1255,5
Western Bulldogs,2019,8974,287,234,1430,849,1274,2122,236,562,263.94117647058823,8.441176470588236,42.05882352941177,5,2,0,12,7,4,3,34,25,19,13,81,11,22,55.08637236084453,3244,5557,36.14887452640963,1157,92
Adelaide,2020,4797,116,100,905,454,614,1006,150,535,126.23684210526316,3.0526315789473686,23.81578947368421,0,0,0,2,1,0,0,38,21,8,0,20,8,4,53.70370370370371,1937,2777,40.37940379403794,763,24
Brisbane Lions,2020,5310,181,175,990,604,869,1435,188,588,147.5,5.027777777777778,27.5,2,1,0,3,2,1,0,36,20,20,0,66,12,31,50.84269662921348,2248,2975,42.335216572504706,793,8
Carlton,2020,4780,146,114,899,534,751,1201,171,475,132.77777777777777,4.055555555555555,24.97222222222222,1,0,0,4,0,0,0,36,21,17,0,48,15,10,56.15384615384615,2049,2634,42.86610878661088,842,-8
Collingwood,2020,5985,156,98,970,561,784,1345,168,693,149.625,3.9,24.25,1,0,0,5,1,0,1,40,23,13,0,66,12,13,61.417322834645674,2296,3655,38.3625730994152,852,72
Essendon,2020,5138,136,101,842,514,677,1121,135,446,135.21052631578948,3.5789473684210527,22.157894736842106,0,0,0,6,1,0,0,38,20,9,0,37,8,13,57.383966244725734,1890,3112,36.78474114441417,819,-50
Fremantle,2020,5100,127,78,825,491,634,1229,176,493,150.0,3.735294117647059,24.264705882352942,1,0,0,3,0,0,0,34,21,12,0,50,11,10,61.951219512195124,2029,3027,39.78431372549019,759,41
Geelong,2020,6515,220,146,1090,707,906,1755,189,617,191.61764705882354,6.470588235294118,32.05882352941177,2,1,1,6,4,0,1,34,23,18,10,64,12,15,60.10928961748634,2544,3916,39.04834996162702,968,-40
Gold Coast,2020,4853,142,111,828,516,704,1138,141,531,151.65625,4.4375,25.875,1,0,0,2,0,0,1,32,21,16,0,38,12,11,56.126482213438734,2016,2739,41.54131465073151,852,-11
Greater Western Sydney,2020,5074,145,105,884,523,649,1244,145,437,133.52631578947367,3.8157894736842106,23.263157894736842,1,0,0,4,0,0,0,38,21,11,0,51,13,12,57.99999999999999,2001,3016,39.436342136381555,821,-22
Hawthorn,2020,4904,147,89,818,437,669,1121,141,500,122.6,3.675,20.45,1,1,0,1,1,0,0,40,21,9,0,33,9,10,62.28813559322034,1871,2953,38.15252854812398,792,-71
Melbourne,2020,5039,155,114,749,480,722,1212,162,568,139.97222222222223,4.305555555555555,20.805555555555557,1,0,0,5,2,0,0,36,18,9,0,61,8,20,57.62081784386617,2057,2920,40.82159158563207,817,0
North Melbourne,2020,5096,124,86,844,506,665,1082,146,520,130.66666666666666,3.1794871794871793,21.641025641025642,0,0,0,5,0,0,0,39,18,11,0,27,9,8,59.04761904761905,2016,3002,39.56043956043956,803,39
Port Adelaide,2020,5861,183,151,1089,657,880,1260,172,563,195.36666666666667,6.1,36.3,1,1,0,6,1,0,1,30,23,17,0,75,17,21,54.79041916167665,2411,3393,41.13632485923904,896,50
Richmond,2020,6096,202,133,1083,565,986,1435,184,556,184.72727272727272,6.121212121212121,32.81818181818182,3,2,0,5,2,0,0,33,24,17,8,56,15,15,60.298507462686565,2436,3568,39.960629921259844,1102,-68
St Kilda,2020,5555,187,123,900,566,784,1427,182,618,163.38235294117646,5.5,26.470588235294116,3,0,0,4,1,0,1,34,24,17,0,60,13,20,60.322580645161295,2194,3275,39.4959495949595,859,-7
Sydney,2020,4976,128,105,935,494,668,1112,151,461,127.58974358974359,3.282051282051282,23.974358974358974,1,0,0,2,1,0,0,39,18,10,0,39,9,15,54.93562231759657,2016,2811,40.51446945337621,818,12
West Coast,2020,5151,173,107,820,569,702,1420,190,633,139.21621621621622,4.675675675675675,22.16216216216216,3,2,0,3,1,0,0,37,22,15,0,66,11,11,61.78571428571429,2065,3080,40.08930304795185,767,16
Western Bulldogs,2020,5576,168,128,905,533,771,1163,160,331,139.4,4.2,22.625,1,0,0,5,1,0,0,40,22,13,0,61,13,15,56.75675675675676,2123,3428,38.07388809182209,743,15
Adelaide,2021,7781,230,197,1245,768,1095,1757,261,749,210.2972972972973,6.216216216216216,33.648648648648646,3,1,1,9,6,3,2,37,27,22,10,51,8,16,53.86416861826698,3064,4556,39.3779719830356,1257,16
Brisbane Lions,2021,8439,333,222,1426,946,1357,2228,296,772,263.71875,10.40625,44.5625,6,4,2,12,8,4,2,32,27,23,14,80,13,23,60.0,3422,4841,40.549828178694156,1403,-19
Carlton,2021,7673,250,201,1175,749,1106,2098,264,705,196.74358974358975,6.410256410256411,30.128205128205128,2,1,1,7,4,1,1,39,29,15,5,52,8,30,55.432372505543235,2888,4609,37.63847256614101,1259,20
Collingwood,2021,8335,225,166,1191,713,1024,2360,265,841,213.71794871794873,5.769230769230769,30.53846153846154,4,1,0,13,7,2,0,39,25,18,11,45,7,11,57.54475703324808,2886,5349,34.625074985003,1309,-16
Essendon,2021,8434,291,200,1327,792,1209,2125,257,695,227.94594594594594,7.864864864864865,35.86486486486486,5,3,1,11,5,2,1,37,25,22,13,78,13,26,59.26680244399185,2982,5327,35.35688878349538,1277,-19
Fremantle,2021,7826,219,220,1076,795,1122,1980,235,803,200.66666666666666,5.615384615384615,27.58974358974359,3,1,0,10,6,3,0,39,27,19,7,61,10,20,49.88610478359909,2945,4837,37.63097367748531,1235,-13
Geelong,2021,9536,295,213,1410,978,1310,2533,270,873,272.45714285714286,8.428571428571429,40.285714285714285,3,3,1,16,7,4,2,35,29,24,17,82,17,18,58.07086614173228,3436,5999,36.031879194630875,1325,40
Gold Coast,2021,7849,201,180,1366,753,1071,2309,231,580,206.55263157894737,5.2894736842105265,35.94736842105263,3,1,1,7,6,1,2,38,26,20,9,44,10,17,52.75590551181102,2900,4850,36.947381832080524,1280,-16
Greater Western Sydney,2021,8694,279,190,1436,891,1192,2175,265,742,222.92307692307693,7.153846153846154,36.82051282051282,5,2,1,12,7,5,2,39,27,19,9,71,9,15,59.488272921108745,3344,5241,38.463308028525425,1372,24
Hawthorn,2021,8343,239,145,1326,758,1072,2053,257,797,219.55263157894737,6.2894736842105265,34.89473684210526,4,1,0,12,7,1,1,38,26,19,11,53,8,25,62.239583333333336,2937,5313,35.20316432937792,1200,-2
Melbourne,2021,9213,323,242,1554,933,1405,2234,309,1103,270.97058823529414,9.5,45.705882352941174,5,3,2,15,8,4,4,34,24,22,18,96,11,31,57.16814159292035,3715,5359,40.32345598610659,1493,-2
North Melbourne,2021,7835,210,154,1160,726,1041,2195,201,856,206.18421052631578,5.526315789473684,30.526315789473685,3,2,1,9,5,3,0,38,25,19,12,39,10,15,57.692307692307686,2708,4981,34.56285896617741,1319,19
Port Adelaide,2021,9178,294,213,1486,845,1288,2265,324,862,262.22857142857146,8.4,42.457142857142856,6,2,1,12,7,3,3,35,28,20,15,91,10,36,57.98816568047337,3456,5491,37.655262584441054,1422,18
Richmond,2021,7857,253,183,1237,661,1130,1983,214,614,196.425,6.325,30.925,3,2,1,6,3,1,1,40,25,18,8,46,14,11,58.02752293577982,2852,4888,36.29884179712358,1351,-85
St Kilda,2021,8126,237,184,1365,771,1120,2127,243,842,208.35897435897436,6.076923076923077,35.0,3,2,0,12,5,2,2,39,26,17,11,68,13,26,56.294536817102134,2935,5016,36.11863155303963,1283,-32
